Date,1st,2nd,3rd,1st_cumulative,2nd_cumulative,3rd_cumulative,1st_stay,2nd_stay,3rd_stay,1st_prop,2nd_prop,3rd_prop
2021/4/12,4749,0,0,4749,0,0,4749,0,0,3.78E-05,0,0
2021/4/13,4362,0,0,9111,0,0,9111,0,0,7.26E-05,0,0
2021/4/14,5362,0,0,14473,0,0,14473,0,0,0.000115321,0,0
2021/4/15,8955,0,0,23428,0,0,23428,0,0,0.000186674,0,0
2021/4/16,10959,0,0,34387,0,0,34387,0,0,0.000273995,0,0
2021/4/17,7719,0,0,42106,0,0,42106,0,0,0.0003355,0,0
2021/4/18,8458,0,0,50564,0,0,50564,0,0,0.000402893,0,0
2021/4/19,31335,0,0,81899,0,0,81899,0,0,0.00065257,0,0
2021/4/20,48533,0,0,130432,0,0,130432,0,0,0.00103928,0,0
2021/4/21,57934,0,0,188366,0,0,188366,0,0,0.001500897,0,0
2021/4/22,55670,0,0,244036,0,0,244036,0,0,0.001944474,0,0
2021/4/23,52433,0,0,296469,0,0,296469,0,0,0.00236226,0,0
2021/4/24,35802,0,0,332271,0,0,332271,0,0,0.002647529,0,0
2021/4/25,25608,0,0,357879,0,0,357879,0,0,0.002851573,0,0
2021/4/26,56641,0,0,414520,0,0,414520,0,0,0.003302888,0,0
2021/4/27,75326,0,0,489846,0,0,489846,0,0,0.003903084,0,0
2021/4/28,81745,0,0,571591,0,0,571591,0,0,0.004554427,0,0
2021/4/29,20479,0,0,592070,0,0,592070,0,0,0.004717603,0,0
2021/4/30,62014,0,0,654084,0,0,654084,0,0,0.00521173,0,0
2021/5/1,40752,0,0,694836,0,0,694836,0,0,0.005536441,0,0
2021/5/2,27333,0,0,722169,0,0,722169,0,0,0.00575423,0,0
2021/5/3,7404,810,0,729573,810,0,728763,810,0,0.005806771,6.45E-06,0
2021/5/4,8524,699,0,738097,1509,0,736588,1509,0,0.00586912,1.20E-05,0
2021/5/5,9849,911,0,747946,2420,0,745526,2420,0,0.005940338,1.93E-05,0
2021/5/6,47968,9310,0,795914,11730,0,784184,11730,0,0.006248364,9.35E-05,0
2021/5/7,50904,12002,0,846818,23732,0,823086,23732,0,0.006558335,0.000189096,0
2021/5/8,63223,7735,0,910041,31467,0,878574,31467,0,0.007000462,0.000250728,0
2021/5/9,75871,8250,0,985912,39717,0,946195,39717,0,0.007539265,0.000316464,0
2021/5/10,106356,29141,0,1092268,68858,0,1023410,68858,0,0.008154513,0.000548659,0
2021/5/11,133867,45531,0,1226135,114389,0,1111746,114389,0,0.008858372,0.00091145,0
2021/5/12,163781,54382,0,1389916,168771,0,1221145,168771,0,0.009730061,0.001344764,0
2021/5/13,160312,53118,0,1550228,221889,0,1328339,221889,0,0.010584181,0.001768008,0
2021/5/14,137001,51937,0,1687229,273826,0,1413403,273826,0,0.01126197,0.002181841,0
2021/5/15,139741,35492,0,1826970,309318,0,1517652,309318,0,0.012092624,0.00246464,0
2021/5/16,190416,24373,0,2017386,333691,0,1683695,333691,0,0.013415652,0.002658844,0
2021/5/17,211930,53026,0,2229316,386717,0,1842599,386717,0,0.014681796,0.003081354,0
2021/5/18,258205,69089,0,2487521,455806,0,2031715,455806,0,0.016188669,0.003631854,0
2021/5/19,313692,72705,0,2801213,528511,0,2272702,528511,0,0.018108849,0.004211166,0
2021/5/20,327612,28574,0,3128825,557085,0,2571740,557085,0,0.020491578,0.004438843,0
2021/5/21,284834,61688,0,3413659,618773,0,2794886,618773,0,0.022269602,0.004930372,0
2021/5/22,288238,43136,0,3701897,661909,0,3039988,661909,0,0.02422257,0.005274079,0
2021/5/23,327598,28009,0,4029495,689918,0,3339577,689918,0,0.02660969,0.005497254,0
2021/5/24,454451,10344,0,4483946,700262,0,3783684,700262,0,0.030148326,0.005579675,0
2021/5/25,525745,11046,0,5009691,711308,0,4298383,711308,0,0.034249439,0.005667689,0
2021/5/26,582080,12730,0,5591771,724038,0,4867733,724038,0,0.038786009,0.005769122,0
2021/5/27,563911,45524,0,6155682,769562,0,5386120,769562,0,0.042916508,0.006131856,0
2021/5/28,537749,48507,0,6693431,818069,0,5875362,818069,0,0.046814779,0.006518359,0
2021/5/29,478825,60221,0,7172256,878290,0,6293966,878290,0,0.050150208,0.006998199,0
2021/5/30,465069,67794,0,7637325,946084,0,6691241,946084,0,0.053315689,0.00753838,0
2021/5/31,538614,96113,0,8175939,1042197,0,7133742,1042197,0,0.056841529,0.008304207,0
2021/6/1,659505,122728,0,8835444,1164925,0,7670519,1164925,0,0.061118558,0.009282102,0
2021/6/2,681510,150334,0,9516954,1315259,0,8201695,1315259,0,0.065350959,0.01047996,0
2021/6/3,685943,148864,0,10202897,1464123,0,8738774,1464123,0,0.069630395,0.011666106,0
2021/6/4,667800,126423,0,10870697,1590546,0,9280151,1590546,0,0.073944077,0.012673442,0
2021/6/5,625861,131749,0,11496558,1722295,0,9774263,1722295,0,0.077881153,0.013723216,0
2021/6/6,569998,183445,0,12066556,1905740,0,10160816,1905740,0,0.0809612,0.015184902,0
2021/6/7,675484,196301,0,12742040,2102041,0,10639999,2102041,0,0.084779322,0.016749025,0
